id;articulo;archivo;licencia_o_estado
trapecio;Trapezius;Trapezius.png;ya estaba
romboides;Rhomboid major muscle;Rhomboideus_major.png;ya estaba
serrato;Serratus anterior muscle;SerratusMagnus.jpg;ya estaba
pectclav;Pectoralis major muscle;Gray410.png;ya estaba
pectest;Pectoralis major muscle;Gray410.png;ya estaba
supraesp;Supraspinatus muscle;Supraspinatus_muscle_back4.png;ya estaba
infraesp;Infraspinatus muscle;Infraspinatus.PNG;Public domain
subesc;Subscapularis muscle;Subscapularis_muscle_frontal.png;CC BY-SA 2.1 jp
dorsalancho;Latissimus dorsi muscle;Latissimus.jpg;Public domain
redmayor;Teres major muscle;Teres_major.PNG;Public domain
deltoides;Deltoid muscle;Deltoideus.png;CC BY-SA 3.0
redmenor;Teres minor muscle;Teres_minor_muscle_back3.png;CC BY-SA 2.1 jp
biceps;Biceps;1120_Muscles_that_Move_the_Forearm_Humerus_Flex_Sin.png;CC BY-SA 4.0
braquial;Brachialis muscle;MusclesAntérieuresDuBras.jpg;Public domain
triceps;Triceps;Triceps_brachii.png;CC BY-SA 3.0
braquiorr;Brachioradialis;Gray417_color.PNG;Public domain
erlc;Extensor carpi radialis longus muscle;Gray417 color.PNG;Public domain
supinador;Supinator muscle;CroquisSupinadorCorto.jpg;Public domain
ecc;Extensor carpi ulnaris muscle;SuperficialMuscularLayerOfPosteriorForearm&Hand.jpg;Public domain
edc;Extensor digitorum muscle;Extensor digitorum muscle.jpg;CC BY-SA 3.0
alp;Abductor pollicis longus muscle;Grant_1962_74.png;Public domain
elp;Extensor pollicis longus muscle;Grant_1962_74.png;Public domain
ecp;Extensor pollicis brevis muscle;Gray1231.png;Public domain
eip;Extensor indicis muscle;Gray421.png;Public domain
pronred;Pronator teres muscle;Gray417 color.PNG;Public domain
frc;Flexor carpi radialis muscle;Gray1231.png;Public domain
fsd;Flexor digitorum superficialis muscle;Gray421.png;Public domain
fdp23;Flexor digitorum profundus muscle;MusculaturaProdundaDelAntebrazo.jpg;Public domain
fdp45;Flexor digitorum profundus muscle;MusculaturaProdundaDelAntebrazo.jpg;compartida
flp;Flexor pollicis longus muscle;MusculaturaProdundaDelAntebrazo.jpg;Public domain
pcuad;Pronator quadratus muscle;PronatorQuadratus&SurroundingAnatomy.jpg;Public domain
acp;Abductor pollicis brevis muscle;1121_Intrinsic_Muscles_of_the_Hand_Superficial_sin.png;CC BY-SA 4.0
oponente;Opponens pollicis muscle;1121_Intrinsic_Muscles_of_the_Hand_Deep_LD.png;CC BY-SA 4.0
lumb12;Lumbricals of the hand;Lumbricales_(hand).png;ya estaba
lumb34;Lumbricals of the hand;Lumbricales_(hand).png;ya estaba
fcc;Flexor carpi ulnaris muscle;Gray214.png;ya estaba
adm;Abductor digiti minimi muscle of hand;Musculus_abductor_digiti_minimi_(Hand).png;Public domain
pid;Dorsal interossei of the hand;Gray220.png;Public domain
intpalm;Palmar interossei muscles;;sin imagen
aductpulg;Adductor pollicis muscle;1121_Intrinsic_Muscles_of_the_Hand_Superficial_sin.png;CC BY-SA 4.0
iliopsoas;Iliopsoas;Gray430-en.svg;CC BY-SA 3.0
sartorio;Sartorius muscle;Sartorius.png;Public domain
cuadriceps;Quadriceps femoris muscle;Quadriceps.png;Public domain
aductlargo;Adductor longus muscle;Anterior_Hip_Muscles_2.PNG;CC BY-SA 3.0
gracil;Gracilis muscle;Anterior_Hip_Muscles_2.PNG;CC BY-SA 3.0
aductmayor;Adductor magnus muscle;Anterior_Hip_Muscles_2.PNG;CC BY-SA 3.0
gluteomedio;Gluteus medius;Gluteus_medius_muscle08.png;CC BY-SA 2.1 jp
tfl;Tensor fasciae latae muscle;Gray1238.png;Public domain
gluteomayor;Gluteus maximus;Gluteus maximus muscle.PNG;Public domain
semis;Semitendinosus muscle;Gray432_color.png;Public domain
bflarga;Biceps femoris muscle;Grays anatomy 1918 plate 434 biceps femoris muscle both heads marked.png;CC BY-SA 4.0
bfcorta;Biceps femoris muscle;Grays anatomy 1918 plate 434 biceps femoris muscle both heads marked.png;ya estaba
tibant;Tibialis anterior muscle;Tibialis.png;ya estaba
eldg;Extensor hallucis longus muscle;Gray441.png;ya estaba
eld;Extensor digitorum longus muscle;Gray1241.png;ya estaba
pedio;Extensor digitorum brevis muscle;Gray441.png;ya estaba
peroneos;Fibularis longus;Intraoperative fibularis longus tendon.jpg;CC0
tibpost;Tibialis posterior muscle;Gray442.png;Public domain
gastro;Gastrocnemius muscle;Gastrocnemius.png;CC BY-SA 3.0
soleo;Soleus muscle;SoleusAndArch.jpg;Public domain
fld;Flexor digitorum longus muscle;Inferior_view_of_flexor_digitorum_longus_muscle_-_animation.gif;CC BY-SA 2.1 jp
fldg;Flexor hallucis longus muscle;Posterior_compartment_of_leg_-_flexor_hallucis_longus.png;CC BY-SA 2.1 jp
abdhallux;Abductor hallucis muscle;Sobo_1909_310.png;Public domain
ecm;Sternocleidomastoid muscle;Sternocleidomastoideus.png;Public domain
diafragma;Thoracic diaphragm;Gray577.png;Public domain
flexcuello;Longus colli muscle;Longus_colli.png;Public domain
paraesp;Erector spinae muscles;Gray389_-_Erector_spinae.png;Public domain
rectoabd;Rectus abdominis muscle;Rectus_abdominis.png;CC BY-SA 3.0
orbocular;Orbicularis oculi muscle;Gray379.png;Public domain
orbboca;Orbicularis oris muscle;Orbicularis_oris.jpg;Public domain
masetero;Masseter muscle;Gray378_(masseter_highlight).png;CC BY-SA 3.0
lengua;Genioglossus;Genioglossus.png;Public domain
elevpalp;Levator palpebrae superioris muscle;Eyemuscles.png;Public domain
rectolat;Lateral rectus muscle;Gray785.png;Public domain
oblsup;Superior oblique muscle;Eyemuscles.png;Public domain
velo;Levator veli palatini;Musculuslevatorvelipalatini.png;Public domain
